,logFC,t,P.Value,adj.P.Val,B
DLGAP5,3.003782808,6.649362906,1.83E-10,2.75E-09,13.32991582
KIF20A,2.211931168,6.308698448,1.27E-09,9.49E-09,11.45486915
ORC1L,2.530994244,5.383096387,1.68E-07,8.41E-07,6.733274543
RAB3B,2.06508571,4.491657527,1.08E-05,4.05E-05,2.754234336
DNMT3B,0.601850302,3.489769268,0.000571008,0.001713025,-0.975429951
FGF2,-0.828731655,-3.087941618,0.002242252,0.00560563,-2.233482446
INHBE,1.192567255,2.224007767,0.027039608,0.057942017,-4.448820329
IGF2BP1,0.605934526,1.683258127,0.093570507,0.1754447,-5.482312599
CENPI,0.674653333,1.61512849,0.107541236,0.179235394,-5.592744196
LIN28B,-0.402982271,-1.078207356,0.281978034,0.422967051,-6.305773745
NMNAT2,0.24622891,0.619710236,0.536011652,0.73092498,-6.691337646
MYCN,0.124413955,0.489363011,0.6250128,0.735280983,-6.763069364
ALX1,0.15799478,0.47213191,0.637243518,0.735280983,-6.77129274
HMGA2,0.073139654,0.256403099,0.797849971,0.854839255,-6.849329766
SOHLH2,0.065933262,0.173926824,0.862063396,0.862063396,-6.866959319
