,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000147689.16,6289.155483,6.803041767,0.23627745,28.79259856,2.66E-182,8.73E-178
ENSG00000183010.17,3610.531377,3.69182181,0.132667133,27.82770476,2.01E-170,3.30E-166
ENSG00000165312.6,1100.866289,-2.113920153,0.080977276,-26.10510336,3.19E-150,3.50E-146
ENSG00000272620.2,2796.18366,6.31667253,0.257198686,24.55950549,3.42E-133,2.82E-129
ENSG00000116016.14,27084.21496,-2.712664084,0.11065025,-24.51566159,1.01E-132,6.62E-129
ENSG00000135604.10,807.6913982,-3.057081848,0.125708474,-24.31882073,1.24E-130,6.80E-127
ENSG00000235387.5,65.27782731,-2.711478979,0.111656027,-24.28421514,2.88E-130,1.35E-126
ENSG00000175832.13,1983.304464,3.859006345,0.159111757,24.25343298,6.08E-130,2.50E-126
ENSG00000261371.6,11827.41605,-2.314917087,0.095604963,-24.2133568,1.61E-129,5.88E-126
ENSG00000162062.15,266.3649178,3.513234913,0.145868157,24.08500249,3.59E-128,1.18E-124
ENSG00000183856.11,1342.949115,3.609673068,0.151177485,23.87705464,5.30E-126,1.59E-122
ENSG00000131747.15,5261.704006,3.851940327,0.161539937,23.84512703,1.14E-125,3.12E-122
ENSG00000204949.9,210.7183265,6.630893104,0.279461364,23.72740551,1.88E-124,4.76E-121
ENSG00000179913.11,2097.407147,4.355141753,0.18394482,23.67634902,6.32E-124,1.48E-120
ENSG00000170989.10,1758.875275,-2.850635041,0.120704318,-23.61667815,2.60E-123,5.70E-120
ENSG00000139567.13,2208.480496,-2.564308273,0.109359144,-23.44850343,1.37E-121,2.81E-118
ENSG00000102760.13,3350.672727,-2.874926817,0.122693604,-23.43175776,2.03E-121,3.93E-118
ENSG00000010319.7,707.9092578,-3.221223343,0.138637686,-23.23483201,2.03E-119,3.70E-116
ENSG00000213853.10,14472.7558,-2.725492629,0.11731571,-23.23211978,2.16E-119,3.73E-116
ENSG00000186193.9,438.9750466,3.778500024,0.162718453,23.22109118,2.79E-119,4.59E-116
ENSG00000182010.11,2075.722764,-4.057205293,0.176262155,-23.01801701,3.08E-117,4.82E-114
ENSG00000286042.1,1280.994818,7.83837989,0.341030931,22.98436645,6.68E-117,9.99E-114
ENSG00000120156.22,943.2722756,-3.249188125,0.14179136,-22.91527588,3.27E-116,4.68E-113
ENSG00000070778.13,1156.448803,-2.442000301,0.10710612,-22.79982034,4.60E-115,6.31E-112
ENSG00000090889.12,840.2866234,3.817617242,0.167953606,22.7301892,2.25E-114,2.97E-111
ENSG00000122679.8,1098.490064,-3.221522916,0.141797856,-22.71912287,2.90E-114,3.67E-111
ENSG00000077152.11,824.1064787,3.310002578,0.147162645,22.49213842,4.96E-112,6.04E-109
ENSG00000157654.19,6105.628637,-2.510190083,0.111829497,-22.44658296,1.38E-111,1.62E-108
ENSG00000254726.3,1306.791723,4.173846455,0.186029795,22.43644065,1.74E-111,1.97E-108
ENSG00000132622.11,425.8323206,-2.78841062,0.124321242,-22.4290763,2.05E-111,2.25E-108
ENSG00000168309.18,1702.769072,-4.543707946,0.202729962,-22.4126118,2.97E-111,3.15E-108
ENSG00000128165.9,746.2792844,3.465404633,0.155153625,22.33531202,1.68E-110,1.72E-107
ENSG00000143320.9,7918.284683,5.573560066,0.24988706,22.30431649,3.36E-110,3.34E-107
ENSG00000137648.19,5390.303782,4.826610342,0.216778033,22.26521884,8.03E-110,7.77E-107
ENSG00000131477.11,911.713628,-2.859813243,0.129376769,-22.1045345,2.86E-108,2.69E-105
ENSG00000123485.12,687.2969695,3.852075718,0.174334448,22.09589537,3.46E-108,3.16E-105
ENSG00000117650.13,676.0645864,3.733104258,0.16904065,22.08406243,4.50E-108,4.00E-105
