"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7d",3221.02027466463,-2.43720166264421,0.113988813334194,-21.3810600475223,2.00522754789044e-101,1.87889821237334e-98
"hsa-mir-210",4775.16475940114,4.61326232529023,0.219018055645183,21.0633881836842,1.7239343851187e-98,8.0766325942811e-96
"hsa-mir-486-1",825.327123589617,-4.31797980203256,0.221914997098726,-19.4578097852105,2.50253212986423e-84,7.81624201894261e-82
"hsa-mir-197",1855.53699869019,-2.96540061572122,0.15469909093106,-19.168830261858,6.74074668379257e-82,1.57901991067841e-79
"hsa-mir-486-2",816.914595136631,-4.30407068218095,0.224748441243855,-19.1506141638197,9.56520198648321e-82,1.79251885226695e-79
"hsa-mir-139",333.072191019587,-2.84514780311783,0.160522062605916,-17.7243411711118,2.72081931142981e-70,4.24901282468288e-68
"hsa-mir-708",490.992120741963,2.8883436760527,0.163189828917199,17.6992873588844,4.2464662616487e-70,5.68419841023547e-68
"hsa-mir-328",234.814300090557,-3.03141831343163,0.177525119587116,-17.0759964588788,2.2396908418868e-65,2.62323789855991e-63
"hsa-mir-96",114.53424744186,2.84886319313592,0.168098478490451,16.9475846463284,2.00524200527552e-64,2.08767973215906e-62
"hsa-mir-195",215.575408220038,-2.14755157346403,0.12699567325086,-16.9104310287948,3.76940910968482e-64,3.31053962489737e-62
"hsa-mir-9-1",4167.0222797185,5.4856218519404,0.324427356615664,16.908629127842,3.88643926081868e-64,3.31053962489737e-62
"hsa-mir-9-2",4170.36860973691,5.42350858801603,0.324361460760848,16.7205702406637,9.28267551261068e-63,7.2482224627635e-61
"hsa-mir-9-3",4171.5585167811,5.38941599051291,0.324418527101336,16.6125407160531,5.65466445732254e-62,4.07570815116248e-60
"hsa-mir-4732",5.32046587463623,-4.45687425795777,0.270213491652172,-16.4938998075448,4.05885394982674e-61,2.71653296499119e-59
"hsa-mir-6892",16.1131374578809,-2.74924249720795,0.174075624146735,-15.7933800937603,3.45556465142332e-56,2.15857605225577e-54
"hsa-mir-1976",73.8349226290857,-1.95604089273096,0.126417453964009,-15.4728704889741,5.28948395320569e-54,3.09765404009608e-52
"hsa-mir-21",1499566.69956504,1.83976052830357,0.119218611177223,15.4318231871423,1.00004732577427e-53,5.51202555441466e-52
"hsa-mir-183",50038.3311629579,2.45669491307545,0.15954213021231,15.3984086197559,1.67746970852733e-53,8.73216176050058e-52
"hsa-mir-182",100685.734915314,2.23617987644693,0.147941245799696,15.1153240893658,1.28338120640238e-51,6.32909573894227e-50
"hsa-mir-378a",1844.16775843776,-2.04479734732445,0.136259638790251,-15.006625332921,6.64432019693415e-51,3.11286401226365e-49
"hsa-mir-143",507615.749331432,-2.53583619599696,0.169981044836949,-14.9183469158541,2.50400215317896e-50,1.1172619131089e-48
"hsa-mir-153-2",85.6196363633515,4.18007730953212,0.280995325053269,14.8759674515571,4.72110829233069e-50,2.01076294086994e-48
"hsa-mir-140",4359.42985244905,-1.37869910832154,0.0928576126590305,-14.8474537395665,7.22615964587929e-50,2.94387460356039e-48
"hsa-mir-144",892.166014120567,-3.18926107829026,0.218276960613386,-14.6110751649099,2.38720681251059e-48,9.32005326384341e-47
"hsa-mir-218-1",133.607552020384,-1.79815234239768,0.126478809179523,-14.2170246072241,7.18431881649935e-46,2.69268269242396e-44
"hsa-mir-196a-1",251.235405727279,6.21252303679368,0.440136163522444,14.1150024734945,3.07005174451689e-45,1.10639941715859e-43
"hsa-mir-196a-2",272.166186515553,6.13628189829469,0.436870553420109,14.0459956622296,8.1514629085128e-45,2.82885953528759e-43
"hsa-mir-135b",303.778180769993,2.95829349773539,0.212659069989609,13.9109679068941,5.43390842540187e-44,1.81841864092913e-42
"hsa-mir-125a",3188.21122618353,-1.46135197233605,0.106594680868696,-13.7094267783977,8.91594315591184e-43,2.88077197830669e-41
"hsa-mir-6511b-2",7.20429627082045,-2.83877909526504,0.207172756609522,-13.7024729589111,9.81244851028223e-43,3.06475475137815e-41
"hsa-mir-301a",71.036033293356,2.75555954855638,0.201852676258168,13.6513401736226,1.98199666075385e-42,5.99074474556889e-41
"hsa-let-7c",6436.33486215533,-1.96188056467324,0.143805169083895,-13.6426289623058,2.23360788723775e-42,6.54028309481805e-41
"hsa-mir-6511b-1",7.1880817744248,-2.78623078164871,0.206167804791944,-13.5143835113366,1.28628697496076e-41,3.65227544102495e-40
"hsa-mir-218-2",127.56465751755,-1.74073534530631,0.129904973759032,-13.4000669484395,6.04086383220766e-41,1.66479100317017e-39
"hsa-let-7a-3",53139.343363564,-1.66695715253024,0.124558910832387,-13.3828815729882,7.61373544862419e-41,2.03830574724596e-39
"hsa-let-7a-1",53009.3495393745,-1.67074850020074,0.124982402831344,-13.3678698948948,9.31709489681718e-41,2.42503275508825e-39
"hsa-let-7a-2",52989.1732203076,-1.66926848283779,0.124891203389917,-13.3657810760798,9.58238308205685e-41,2.42667376969926e-39
"hsa-mir-4529",0.681281431086912,-3.32228345723885,0.251660745163626,-13.2014369387595,8.60772598974918e-40,2.12248401378815e-38
"hsa-mir-577",34.7373451227927,5.18439579277324,0.397894068488448,13.0295880319808,8.30548684553293e-39,1.99544645493958e-37
"hsa-mir-141",6949.18484504187,1.82549044896985,0.141700070958911,12.8827772393931,5.62735204041119e-38,1.31820721546632e-36
"hsa-mir-2110",15.9404181119916,-1.99560107753122,0.155303001147881,-12.8497264237089,8.63149550811963e-38,1.97261251002636e-36
"hsa-mir-190a",15.2904290382366,-1.9340529380003,0.15253906379487,-12.6790665281725,7.72463164007282e-37,1.71784918282677e-35
"hsa-mir-7-1",92.5086208497171,1.66218262063375,0.131113102070174,12.6774715447135,7.88340606846863e-37,1.71784918282677e-35
"hsa-mir-200a",3910.83994012497,1.97628518620083,0.155920986792311,12.6749145631901,8.14473839777895e-37,1.7344590633452e-35
"hsa-mir-451a",3805.11666995031,-2.79615074803724,0.221351451363875,-12.6321771590317,1.4034076457792e-36,2.92220658687802e-35
"hsa-mir-1296",21.3738808557695,-2.17790325801436,0.172992391052736,-12.5895898932945,2.40921795526977e-36,4.90747222627778e-35
"hsa-mir-142",12172.6763183716,2.20775877367648,0.176419562641551,12.5142514844694,6.23932624956511e-36,1.24388270124309e-34
"hsa-mir-423",814.612424523992,-1.282138430828,0.103339178678095,-12.4070894236726,2.39190696011353e-35,4.66920171172162e-34
"hsa-mir-30a",103606.349853692,-1.97341403005526,0.159444291594906,-12.376824596951,3.48874770351933e-35,6.67133999632166e-34
"hsa-let-7b",76839.3317635794,-1.54813732309945,0.126105482383918,-12.2765267126632,1.21085921402684e-34,2.26915016708631e-33
"hsa-mir-31",91.8660756487586,4.61100253159022,0.384994946522481,11.9767871584802,4.70194922795633e-33,8.63867926783349e-32
"hsa-mir-605",2.1419311400289,-2.65442946079181,0.221669629686862,-11.9747096818881,4.82122296892831e-33,8.68747292670352e-32
"hsa-mir-196b",495.879477412107,4.01043135587736,0.339827477243506,11.8013745928016,3.83987125319637e-32,6.78860257404717e-31
"hsa-mir-6788",1.2382022317342,-3.33032806160107,0.285197553033088,-11.6772673053569,1.66564578464711e-31,2.89020388928581e-30
"hsa-mir-147b",13.5386114122556,4.52883396684364,0.393338379149829,11.5138369579708,1.1236531479736e-30,1.9142963630023e-29
"hsa-mir-1269a",610.219625102138,5.984798631692,0.524269688383869,11.415496192696,3.49901380483151e-30,5.85459988415558e-29
"hsa-let-7f-1",27700.0413611247,-1.86736207390357,0.168081593866861,-11.109854630381,1.12342251219663e-28,1.84674893671621e-27
"hsa-let-7f-2",27956.4490360931,-1.8647003630906,0.16795926075181,-11.1020991325154,1.22531707591996e-28,1.97952086230517e-27
"hsa-mir-15b",1030.42759634928,-1.11295561147093,0.103442701867665,-10.7591506348581,5.36624714139399e-27,8.52232808726469e-26
"hsa-mir-148a",206842.940628441,1.48536524372587,0.138715748192489,10.7079784601291,9.33785682627416e-27,1.45826197436981e-25
"hsa-mir-33b",21.1011828055377,2.59848091438456,0.245306936913572,10.5927738818902,3.2190876706058e-26,4.86497604412522e-25
"hsa-mir-607",1.19493788012994,-2.42572933826826,0.228987295089522,-10.5932922493361,3.20130585015133e-26,4.86497604412522e-25
"hsa-mir-29b-1",2020.01171106177,1.50137328843847,0.142275935969448,10.5525455039767,4.94392062808742e-26,7.35310099764748e-25
"hsa-mir-133a-1",21.898187705697,-2.39017327336334,0.226634878770321,-10.5463611176354,5.28026717721895e-26,7.73064116414711e-25
"hsa-mir-145",6246.27443996262,-1.51882360626097,0.1443523176108,-10.5216433750374,6.8665337062018e-26,9.89837243494014e-25
"hsa-mir-130b",156.061139525101,1.6559618883027,0.157511267631238,10.5132916089508,7.50282179396849e-26,1.06517333650734e-24
"hsa-mir-301b",10.5393346785105,3.77930887196342,0.360716139488016,10.477238077918,1.09906625190151e-25,1.53705235527122e-24
"hsa-mir-378c",23.533015491285,-1.51994846295884,0.146916041906765,-10.3456943382903,4.37731612857568e-25,6.03168413599326e-24
